
0,root,Root,1202803640112,1611780708392,,,,,,
1010,gsoc,Page,1269468348142,1580923580432,,gsoc,05.02.2020 17:26:20 UTC,default,56112.0,
1079,Page,Page,1272993820552,1540628899933,,twitter,18.11.2014 14:30:00 UTC,jkridner.wordpress.com,3008.0," The <a class="external" href="http://twitter.com/beagleboardorg">twitter.com/beagleboardorg</a> Twitter feed provides news updates coming from the BeagleBoard.org community. <script src="http://widgets.twimg.com/j/2/widget.js"/> <script>new TWTR.Widget({  version: 2,  type: 'profile',  rpp: 32,  interval: 6000,  width: '400',  height: 400,  theme: {    shell: {      background: '#ffffff',      color: '#000000'    },    tweets: {      background: '#ffffff',      color: '#000000',      links: '#4aed05'    }  },  features: {    scrollbar: true,    loop: false,    live: true,    hashtags: false,    timestamp: true,    avatars: false,    behavior: 'all'  }}).render().setUser('BeagleBoardOrg').start();</script> <script>new TWTR.Widget({  version: 2,  type: 'search',  search: 'beagleboard',  interval: 6000,  title: 'What are people saying about',  subject: 'BeagleBoard?',  width: 400,  height: 400,  theme: {    shell: {      background: '#ffffff',      color: '#000000'    },    tweets: {      background: '#ffffff',      color: '#000000',      links: '#1985b5'    }  },  features: {    scrollbar: true,    loop: true,    live: true,    hashtags: true,    timestamp: true,    avatars: true,    behavior: 'default'  }}).render().start();</script>"
1086,buyxM,Page,1273144349814,1540775163631,,buyxM,18.11.2014 14:31:05 UTC,jkridner.wordpress.com,7816.0, <script type="text/javascript">window.location = "/BeagleBoard-xM";</script> 
1101,Page,Page,1274454719095,1540821327736,,hardware-xM,18.11.2014 14:31:58 UTC,jkridner.wordpress.com,62288.0,<script type="text/javascript">window.location = "/BeagleBoard-xM";</script>
1113,Page,Page,1275497806908,1540820396508,,resources-prhome,18.11.2014 14:32:51 UTC,jkridner.wordpress.com,3619.0, <script type="text/javascript">window.location = "/resources#third_party"</script> 
1114,xM-prhome,Page,1275498215019,1540791575205,,xM-prhome,18.11.2014 14:38:17 UTC,jkridner.wordpress.com,3258.0, <script type="text/javascript">window.location = "/beagleboard-xM";</script>
1115,Page,Page,1275498616426,1540654660886,,prcommunity,18.11.2014 14:38:53 UTC,jkridner.wordpress.com,2132.0, <script type="text/javascript">window.location = "/discuss";</script>
1116,Page,Page,1275498858545,1540773708813,,buyxM-prhome,02.06.2010 18:43:50 UTC,blog.hangerhead.com,6083.0, <script type="text/javascript">window.location = "/buyxM"</script> <h1>Buy the BeagleBoard-xM</h1> <p>  Please visit the BeagleBoard-xM product purchase page at  <a href="/buyxM">http://beagleboard.org/buyxM.</a> </p>
115,prev,Page,1211118293316,1211118293319,,projects,18.05.2008 08:44:53 CDT,blog.hangerhead.com,,<div> <h1>Join or start a Beagle Board related project</h1> <p>Please register your project on code.google.com and use tag "beagleboard".</p> <ul>  <li>   <a href="http://code.google.com/hosting/search?q=beagleboard">Currently Registered Projects</a>  </li> </ul></div>
116,projects,Page,1211118536995,1540605799988,,projects,18.11.2014 14:40:31 UTC,jkridner.wordpress.com,2611.0,<script type="text/javascript">window.location = "/project";</script>
11,tools,Page,1202805579338,1504296133406,,tools,12.02.2008 08:39:39 UTC,blog.hangerhead.com,13.0,"<h1>Beagle Board Tools</h1><p>The Beagle Board is meant for hobbyists, students, open source developers, and as a supplement to software development on the TI EVM.  The package would contain a board, a USB cable for power and monitor-style debug, and information on returns/replacements with a pointer to http://BeagleBoard.org.  All of the tools would be linked for free download from the website and we can add links to professional tools as well.  The free tools will include the Code Sourcery ARM Linux compiler, a C64x+ compiler, and some bootloading tools.  Binary images will be provided for graphics development at some point.</p>"
124,chat,Page,1211119922104,1607545732794,,chat,09.12.2020 20:28:52 UTC,default,1597.0, </div>
